"","logFC","logCPM","LR","PValue","FDR"
"ATF3",-4.47179158377081,2.87277056597383,22.1352108261134,2.54105970896821e-06,0.00107251542382969
"RNASE2",-4.45891943562863,3.53515446121154,21.7189756962734,3.15653451944469e-06,0.00128470954941399
"NMI",-2.41755633247674,5.23787315076475,21.2808453033293,3.96675512717718e-06,0.00155879798032107
"OAS1",-4.38557500036234,4.59400295130176,21.193606363353,4.1514711029329e-06,0.00157700548963411
"APOBEC3A",-5.4722654139006,5.15344949576152,20.8448696211418,4.98024460711051e-06,0.00183080217879456
"IL1RN",-2.84124726815134,3.35245937531431,20.7392959601349,5.26249129836191e-06,0.00187410471362914
"LGALS9",-2.16312461768616,5.78886471947129,20.5480004964007,5.81545037710909e-06,0.00200826886356167
"TNFSF10",-2.78923127204798,5.80364025271199,20.4314402457461,6.18060279094575e-06,0.00207159262957699
"GBP1",-2.84698807200426,5.81003045569452,20.1694552228358,7.08756837612641e-06,0.0022818136065029
"ISG15",-3.80223876704154,5.08925030095034,20.1371586076428,7.20825639119907e-06,0.0022818136065029
"IL18R1",-2.18078556454188,4.20000743466657,20.0071441370494,7.71533718589983e-06,0.00237632385325715
"TNRC6C",1.49300758517026,5.52584238050644,19.2610702840155,1.14007390794779e-05,0.00341752130593305
"FH",-3.48724553073163,3.07561164929079,19.1771535820134,1.19130694674639e-05,0.00341752130593305
"HERC5",-4.07421489736146,3.46471326564743,19.1639894126224,1.19955117793368e-05,0.00341752130593305
"VAMP5",-2.02959994109987,5.06799669897128,18.6212155240284,1.59436349072778e-05,0.00443155276593507
"IFIT3",-5.33860542932498,4.73248548306233,18.4993835397725,1.69959263163165e-05,0.00456997700575743
"MT-ND3",1.43399366294194,11.7012791977544,18.4510961438995,1.74320535765102e-05,0.00456997700575743
"TTC9",4.96383493060734,1.99758425370714,18.38191427434,1.80765635620112e-05,0.00456997700575743
"MT2A",-2.6621013106265,6.93964180584688,18.36861939945,1.82031362175315e-05,0.00456997700575743
"YPEL3",1.67307237408406,6.99147337692629,18.3432921709472,1.84467306304705e-05,0.00456997700575743
"MX2",-3.77562580709775,4.83927125653039,18.2335605521725,1.95405189304274e-05,0.00473795220704577
"GAS2L3",-10.0028832979578,0.641529249697601,17.5046830592595,2.86600868009996e-05,0.00680438227467066
"USP18",-5.21862124047921,2.49822886386973,17.3723071798927,3.07270486690528e-05,0.00714623360474542
"OASL",-4.08887200484352,3.7716362950967,17.2830070616568,3.22054074343762e-05,0.00734025646244302
"CITED2",2.07732634983299,5.53476527274024,17.1140057817618,3.52017537745782e-05,0.00786586639245281
"SP100",-1.91713054960211,7.35197988386573,16.8872671765811,3.96667794470664e-05,0.00869312728036093
"CKS2",-2.48646259246448,3.51860418363909,16.6230537420282,4.55934477906357e-05,0.00980345152871858
"TP53INP1",2.6196265958631,3.45904337822653,16.5553263920494,4.72510800249244e-05,0.00997172792525998
"MNDA",-2.58585872402009,6.62009678094335,16.4482154459159,4.99972244941775e-05,0.0103594249151936
"DTX3L",-2.54121285294617,5.45008919074485,16.360816841925,5.23564887207009e-05,0.0106545454546626
"IFI27",-6.60604541460856,4.59463738165171,15.9885754927613,6.37258820754872e-05,0.0126034061187813
"S100A11",-1.54980085947264,7.61880167491559,15.9761625010552,6.41450995866371e-05,0.0126034061187813
"UROS",2.2731231517623,3.51088749866988,15.8735097286569,6.77199943262539e-05,0.013080289073593
"MBOAT2",6.91098313272884,1.18530978554477,15.8165740299248,6.97885041570427e-05,0.0131435362351579
"TNFSF13B",-2.69459234794819,4.54571428275137,15.8013004990698,7.03541339368756e-05,0.0131435362351579
"SUN2",1.45454972398414,8.21936589336198,15.7702113628067,7.15197557408881e-05,0.0131457925229542
"ZMYND11",1.30641564124524,5.69147882086735,15.6770094734576,7.5131897586631e-05,0.0134025784217574
"HIPK2",1.28182074546143,6.75657862862885,15.6735624248505,7.52689556855453e-05,0.0134025784217574
"SAMD4B",2.03997420692669,4.26379707152886,15.5826877906675,7.89743774818768e-05,0.0138460308582072
"FXYD6",-5.42631836811612,1.51536383187915,15.2883859091994,9.22821522953101e-05,0.0159340516296569
"SIGLEC1",-6.96206027062571,2.608055545153,15.1832090134246,9.75671365241409e-05,0.0165951505646136
"MT-ND4L",1.25220643562636,10.5077342529327,15.1123691316966,0.000101297392727616,0.0169762512871163
"CISD3",-1.71887779690298,4.72551666592057,15.0144234050781,0.000106692609553861,0.0174236447634167
"SGO2",-3.02661738278364,3.12954597743226,15.0085559312634,0.000107024844984132,0.0174236447634167
"SEPT9",1.37797663239827,7.38335016523866,14.7791115863259,0.00012086696447768,0.0191950574635266
"ab_CD95|FAS|AHS0023|pAbO",-1.26677851609938,13.9013955067325,14.7727644058213,0.000121274494329055,0.0191950574635266
"IFITM2",-1.07523770350982,9.28705830555795,14.6522080038626,0.000129283103845252,0.0199718134397873
"FARSB",-2.29982320927257,3.62021419266749,14.6463273816174,0.000129687100258359,0.0199718134397873
"PRR5L",1.4540361160957,5.89910341021947,14.3154596759334,0.000154590078040319,0.0233838441518942
"KLF3",1.34501929841876,6.03871118999341,14.2990083217801,0.000155947012595995,0.0233838441518942
"HIST1H2BD",-3.61908663731843,3.21056410439911,14.2410036479318,0.000160827757703431,0.0238025081401078
"ab_CD64:MD22|FCGR1A|AHS0180|pAbO",-2.84854151458133,12.017338211617,14.2005219353458,0.0001643249270142,0.0240082931827413
"CHMP5",-2.12911606738266,4.62904287751166,14.1270346191111,0.000170870320567964,0.0246485844707913
"SRGAP2B",3.33531618419156,2.42552554818189,14.019133975202,0.000180959805172849,0.0257256565482902
"ENOX2",2.45862905807668,3.19545588448978,13.9995774757996,0.000182851718182828,0.0257256565482902
"LSS",2.78622523236245,3.00940055465806,13.8975262398319,0.000193052390986976,0.0268295737522875
"PRKAG2",-1.96654924310538,4.25338022553251,13.7861188842721,0.000204844156995916,0.0281253495557284
"HIST1H1C",-2.48805459457179,4.32801905774014,13.730998917893,0.000210943954129319,0.0286180631102109
"LAG3",-2.81056606240453,3.54021529508912,13.4260605407827,0.00024815268682349,0.033269976694594
"CACNA2D3",5.82729264475179,1.20979854483729,13.320664437073,0.000262497145275689,0.0347839240414158
"DUT",-1.56538342165628,5.73516204613347,13.2776803384257,0.000268584614079554,0.0351814972649494
"ABHD15",2.32881098969014,3.77287802681745,13.2020027745339,0.000279650113410592,0.0362146896866716
"DLGAP5",-6.12424252063649,1.81090736502413,13.1729220412909,0.000284023503295382,0.0363677735230806
"LGALS1",-1.66359471290418,7.54220079299057,13.0888129187929,0.000297064543942559,0.0374322206255105
"MMAB",2.54314067674414,3.10767382146121,13.0772375977588,0.000298905938655796,0.0374322206255105
"DSEL",-10.7446383922629,0.34092562885532,12.9425640608158,0.000321194774335116,0.0397862570469889
